"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00351862","1893-01","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","","","","","","","","","","","7",",6","0","2,6","28","2,6","5","2,6","0","2,6","0","2,6","1","","","","-10.6","2,6,31,","","","102",",,6,27,","","","10.6","2,6,10,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433",",,,6","0.11","4,6","3.25","2,,,6","-3.02","2,,,6","",""
"USC00351862","1893-02","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","9",",6","9",",6","2",",6","","","2",",6","0",",6","15",",6","0",",6","0",",6","0",",6","","","","","-15.6",",6,01,","","","51",",,6,04,+","38.1",",,6,07,","13.3",",6,16,","","","","","","","","","","","","","404.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137.1",",,,6","102",",,,6","3.88",",6","7.88",",,,6","-0.13",",,,6","",""
"USC00351862","1893-03","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","","","","","","","","","0",",6","0",",6","8",",6","0",",6","0",",6","0",",6","","","","","-3.3",",6,01,","","","0",",,6,31,+","","","19.4",",6,07,","","","","","","","","","","","","","354.9",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,6","6.88",",6","11.90",",,,6","1.87",",,,6","",""
"USC00351862","1893-04","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","","","","","","","","","","","0",",6","5",",6","0",",6","0",",6","0",",6","","","","","-2.2",",6,17,+","","","","","","","16.7",",6,21,","","","","","","","","","","","","","328.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.39",",6","11.81",",,,6","2.97",",,,6","",""
"USC00351862","1893-05","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","","","","","","","","","","","0",",6","1",",6","0",",6","9",",6","0",",6","","","","","0.0",",6,09,","","","","","","","25.0",",6,27,","","","","","","","","","","","","","208.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.62",",6","17.54",",,,6","5.69",",,,6","",""
"USC00351862","1893-06","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","","","","","","","","","","","","","0","5,6","0","5,6","","","","","","","","","","","2.2","5,6,29,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.51","5,,,6","",""
"USC00351862","1893-07","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","12.0","2,6","0",",6","0",",6","0",",6","","","","","0","2,6","0","2,6","0",",6","29",",6","1",",6","","","","","4.4","2,6,27,+","","","","","0.0",",T,6,04,","35.0",",6,31,","","","55.1","6","","","","","","","","","55.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,,6","","","16.79","2,6","25.53",",,,6","8.04","2,,,6","",""
"USC00351862","1893-08","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","18.4",",6","1",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","5",",6","","","","","3.9",",6,14,","","","","","2.3",",,6,21,","35.6",",6,31,","","","94.1","6","","","","","","","","","39.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3",",,,6","","","17.67",",6","27.17",",,,6","8.16",",,,6","",""
"USC00351862","1893-09","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","1.7",",6","","","","","","","","","","","0",",6","0",",6","0",",6","10",",6","0",",6","","","","","2.2",",6,23,","","","","","","","26.7",",6,15,","","","234.3","6","","","","","","","","","140.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.72",",6","19.43",",,,6","8.00",",,,6","",""
"USC00351862","1893-10","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","","","","","","","","","","","0",",6","8",",6","0",",6","0",",6","0",",6","","","","","-2.2",",6,24,+","","","","","","","18.9",",6,19,+","","","535.1","6","","","","","","","","","300.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.63",",6","14.00",",,,6","3.26",",,,6","",""
